,Unnamed: 0,starttime,endtime,text,question,
47,47,403.96172,408.51424,uh even when you uh broken your ankle ha ha ha,8f/,
48,48,410.7371,411.9171,oh thank goodness,0,
49,49,413.57068,423.18384,okay wow okay um have you ever tweeted,9/,
50,50,435.38224,436.46135,uh huh,0,
51,51,439.44553,441.25059,yeah yeah,0,
52,52,446.73445,447.38191,mhm,0,
53,53,454.34899,456.35025,have you ever bought anything on ebay,10/,
54,54,471.19492,478.46447,do you own an e reader of any kind ha ha,11/,
55,55,479.27571,480.70571,okay great,0,
56,56,489.27223,493.17205,uh so who was the last person you were in a physical fight with,12/,
57,57,499.51981,504.72519,okay um wow so not never any like just pu-,12f,
58,58,504.72519,505.94165,pulling hair,12f/,
59,59,506.90304,511.46854,i don't know never like pulling hair with a a classmate or something i've,12f/,
60,60,511.46854,512.49926,ha ha,0,
61,61,516.1236,517.14263,yeah yeah,0,
62,62,518.16735,526.24442,okay um uh sounds good have you ever gotten in trouble with the police,13/,
63,63,529.28719,530.32706,are you sure,13f/,
64,64,531.92638,532.67638,how sure are you,13f/,
65,65,534.52578,535.93203,you never got busted for,13f,
66,66,536.29203,537.32203,stuff,13f/,
67,67,539.10203,540.08203,okay cool,0,
68,68,543.51516,546.24516,um who ended your last romantic relationship,14/,
69,69,547.39823,548.16516,why,14/,
70,70,549.90961,551.98935,ha ha,0,
71,71,553.09077,555.91624,uh okay,0,
72,72,557.16466,564.75547,um um okay,0,
73,73,569.34559,572.74559,oh cool whom do you love more your mother or your father,15/,
74,74,573.06559,573.56559,ha ha,0,
75,75,584.07063,585.0629,ha ha,0,
76,76,588.20958,593.03958,yeah so this question isn't so much um which one do you actually love more but which one di- did you put down ha,15f/,
77,77,593.60383,598.33989,okay ok cool i don't know how to talk you out of that one,,
78,78,599.89085,601.46426,uh,0,
79,79,605.64596,608.72596,great uh what's the most you ever spent on a pair of shoes,16/,
80,80,619.94999,621.83353,usually your limit ha ha,16f/,
81,81,626.54492,627.16492,where'd you get them,16f/,
82,82,634.85344,635.64294,ha ha,0,
83,83,637.38256,644.89404,yeah yeah i have a pair of steve madden um so where um wh- and they were brand new,16f/,
84,84,645.82404,646.87404,oh cool,0,
85,85,648.44404,662.52207,um cool um what's the last movie you saw that you really hated,17/,
86,86,708.79603,712.30804,oh okay um have you ever gone ice skating,18/,
87,87,713.98052,714.56912,where,18f/,
88,88,726.50169,727.44346,is that a lake,18f/,
89,89,730.07289,730.70074,okay,0,
90,90,734.90516,737.88743,you were ten um did you fall down,18f/,
91,91,742.42998,744.44998,and that was the last time you went,18f/?,
92,92,751.17998,760.97136,yeah um cool uh do you own a tennis racket,19/,
93,93,776.45262,781.1959,great huh uh ha ha how many roommates do you have,20/,
94,94,792.56139,794.05252,so where are you living right now,20f/,
95,95,800.40125,806.56199,um and and so who's your roommate,20f/,
96,96,815.48887,817.09745,um,0,
97,97,819.32745,831.6284,wow okay um so how many many roo- how many roo- how big is your is your room or the whole apartment or whatever,20f/,
98,98,838.36573,841.58788,or like number of rooms like you have just like uh one room,20f/,
99,99,858.07836,861.44265,so you live in a suite and um,20f/,
100,100,862.23265,864.78265,yeah and so your room is only big enough for two people,20f/,
101,101,865.09265,865.82359,okay cool,0,
102,102,867.74637,868.91346,um,0,
103,103,871.42485,874.65889,ah if you attended college what was your major,21/,
104,104,876.64889,882.30362,okay what's that ha ha ha ha ha,21f/,
105,105,879.87388,892.3748,ha ha ha ha ha uh huh,0,
106,106,899.7058,900.62795,yeah,0,
107,107,905.6406,909.25071,okay um who's your favorite professor,21f/,
108,108,913.24596,914.46241,and what what's his deal,21f/,
109,109,914.87476,915.63994,ha ha,0,
110,110,920.23298,921.31989,has he written any books,21f/,
111,111,925.5912,926.88613,what class did you have with him,21f/,
112,112,954.61797,958.11797,are you sure you're not pre law okay cool,21f/,
113,113,959.04018,966.30515,uh ha ha ha um great uh did you ever have a cat,22/,
114,114,974.00503,984.75968,what was the cat's name what kind of cat was she,22f/,
115,115,992.2705,1000.45968,huh um and um what else do you remember about genevieve,22f/,
116,116,1046.43337,1062.58307,okay um have you ever watched a person or pet die tell me about it,23/ 23f/,
117,117,1062.82384,1064.03231,ha ha,0,
118,118,1065.57067,1066.51244,ha,0,
119,119,1070.75357,1071.44028,oh no,0,
120,120,1083.3026,1088.75892,okay um did you ever cheat on a test in high school,24/,
121,121,1094.25257,1095.01776,ha ha,0,
